date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.023479690068
2021-02-08,California,State,Epsilon,376.0,74.6,450.57142857142,74.054942474759
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Total,504.0,100.0,608.42857142857,100.0
2021-02-08,California,State,Alpha,19.0,3.77,19.85714285714,3.263676919465
2021-02-08,California,State,Other,109.0,21.63,137.71428571428,22.63442122564
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023479690068
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.027662517289
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Alpha,23.0,3.57,18.28571428571,3.540802213001
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Other,152.0,23.6,117.42857142857,22.738589211618
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.027662517289
2021-02-09,California,State,Total,644.0,100.0,516.42857142857,100.0
2021-02-09,California,State,Epsilon,469.0,72.83,380.42857142857,73.665283540802
2021-02-10,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
